id,song,artist,album,year,i,j,k,disruption
"9133","02 Quiabo gigante.mp3", "Trio Nortista","[1981] - 1981 - Trio Nortista - Tocaram fogo nas coisas (Forró em vinil)","1981",6,10,364,-0.010526
"990","03 - Desengonçado.mp3", "Gerson Filho","[1963] - 1963 - Gerson Filho - Lá Vai Fumaça - RCA (forró em vinil)","1963",10,12,163,-0.010811
"957","05 WALDICK SORIANO - Perdoa-me Pelo Bem Que Te Quero.mp3", "Waldick Soriano","[1962] - Waldick Soriano - 1962 - Sua Majestade a 8 Baixos (Forró em vinil)","1962",3,6,267,-0.010870
"22958","14 - Sanfoninha manhosa.mp3", "Trio Curió","[2008] - Trio Curió - 2008 - Trio Curió (Forró em vinil)","2008",1,9,692,-0.011396
"7573","8 - BALAN€O DA NEGRA.mp3", "Gerson Filho","[1979] - 1979 - Gerson Filho - 8 baixos brasileiros vol11 (Forró em vinil)","1979",3,11,683,-0.011478
"5091","05 - Fandango em Festa.mp3", "Zé Honório","[1974] - Zé Honório - 1974 - Balaio de gatos no forró (Forró em vinil)","1974",1,10,764,-0.011613
"3653","05 - Marinete.mp3", "Severino Januário","[1972] - Severino Januário - 1972 - Choveu no meu roçado (Forró em vinil)","1972",1,3,168,-0.011628
"16069","02 - Eu agradeço.mp3", "Mastruz com Leite","[1993] - Mastruz com Leite - 1993 - Vol. 02 - Só pra xamegar (Forró em vinil)","1993",2,7,418,-0.011710
"1689","06 Aquela Rosa.mp3", "Gerson Filho","[1966] - Gerson Filho - 1966 - Retalhos do Nordeste (Forró em vinil)","1966",8,9,68,-0.011765
"7480","10 o índio.mp3", "Venâncio e os baianos de Aracajú","[1978] - Venâncio e os baianos de Aracajú - 1978 - Brasil com S (Forró em vinil)","1978",5,7,158,-0.011765
"17663","01 Caia por Cima de Mim.mp3", "Flávio José","[1996] - Flávio José - 1996 - Filho do Dono (Forró em vinil)","1996",1,2,82,-0.011765
"20822","13 - Pra voce.mp3", "Falamansa","[2003] - Falamansa - 2003 - Simples mortais (Forró em vinil)","2003",1,7,498,-0.011858
"18531","12 Ze Esteves.mp3", "Elba Ramalho","[1998] - Elba Ramalho - 1998 - Flor da Paraiba (Forró em vinil)","1998",10,18,642,-0.011940
"947","02 Serra Talhada.mp3", "Severino Januário","[1962] - Severino Januário - 1962 - Pagode bom (Forró em vinil)","1962",6,8,153,-0.011976
"9719","08 A banda que sabe tocar.mp3", "Os 3 do Nordeste","[1981] - Os 3 do Nordeste - 1981 - É pra virar lobisomem (Forró em vinil)","1981",2,5,243,-0.012000
"7283","03 serena do mar.mp3", "Luiz Gonzaga","[1978] - Luiz Gonzaga - 1978 - Dengo maior (Forró em vinil)","1978",1,11,813,-0.012121
