id,song,artist,album,year,i,j,k,disruption
"12094","12 Viúva nova.mp3", "Messias Holanda","[1985] - Messias Holanda - 1985 - Coma ovo (Forró em vinil)","1985",0,7,310,-0.022082
"11321","04 - Seu Januário.mp3", "Severino Januário","[1983] - Severino Januário - 1983 - Luiz Gonzaga e Seus Parceiros (Forró em vinil)","1983",2,11,394,-0.022113
"15606","03 = FESTA BELEZA = autor. tiziu = geraldo lucas.mp3", "Trio Natal","[1992] - Trio Natal - 1992 - Mim dando amor (Forró em vinil)","1992",0,20,883,-0.022148
"6511","08 Amor de Maria.mp3", "Ciço do Pará","[1977] - Ciço do Pará - 1977 - Ciço do Pará (Forró em vinil)","1977",0,17,749,-0.022193
"910","01-Sirirí-Sirirá_Honildo Almeda.mp3", "Marinês","[1962] - Marinês - 1962 - Outra Vez (Forró em vinil)","1962",6,7,32,-0.022222
"2049","02. Forró do Barone.mp3", "Severino Januário","[1967] - Severino Januário - 1967 - Pagode sertanejo (Forró em vinil)","1967",4,6,80,-0.022222
"707","01 Aquilo bom.mp3", "Jackson do Pandeiro","[1961] - Jackson do Pandeiro - 1961 - Ritmo melodia e a personalidade de (Forró em vinil)","1961",1,3,86,-0.022222
"2517","02 Guerra e Paz.mp3", "Marinês","[1969] - Marinês - 1969 - Vamos rodar roda (Forró em vinil)","1969",0,1,44,-0.022222
"26717","09-Baião da Garoa-Forró.mp3", "Targino Gondim","[2014] - Targino Gondim - 2014 - Ser tão da Gente (Forró em vinil)","2014",0,1,44,-0.022222
"4357","09 Apesar de não merecer.mp3", "Tenente Jesus e sua gente","[1973] - Tenente Jesus e sua gente - 1973 - Forró bom que dói (Forró em vinil)","1973",0,2,88,-0.022222
"13618","02 Gatinha.mp3", "Messias Lima","[1988] - 1988 - Messias Lima - Forró no miudinho (Forró em vinil)","1988",0,10,440,-0.022222
"17997","06 - Vamos Fugir.mp3", "Elba Ramalho","[1997] - Elba Ramalho - 1997 - Baioque (Forró em vinil)","1997",0,2,88,-0.022222
"25232","04 O catador de notas.mp3", "Trio Potiguá","[2011] - Trio Potiguá - 2011 - Feito pra se dançar (Forró em vinil)","2011",0,9,395,-0.022277
"19094","20 Feira Dançante.mp3", "Mastruz Com Leite","[1999] - Mastruz Com Leite - 1999 - Feira Dançante (Forró em vinil)","1999",0,11,482,-0.022312
"22012","11 Meu Bê-A-Bá.mp3", "Santanna, O Cantador","[2006] - Santanna, O Cantador - 2006 - Forro Popular Brasileiro (Forró em vinil)","2006",0,9,394,-0.022333
"23096","7-Não despreze teu coroa.wma", "Chico Mota","[2009] - Chico Mota - 2009 - Empregada doméstica (Forró em vinil)","2009",0,24,1050,-0.022346
"4677","01 vô bate pá tu.mp3", "Baiano e os novos Caetanos","[1974] - Baiano e os novos Caetanos - 1974 - Baiano e os novos Caetanos (Forró em vinil)","1974",0,4,175,-0.022346
"11326","10 - Fogueira de São João.mp3", "Severino Januário","[1983] - Severino Januário - 1983 - Luiz Gonzaga e Seus Parceiros (Forró em vinil)","1983",0,16,700,-0.022346
"10575","03 - Gavião.mp3", "Renato Leite","[1982] - Renato Leite - 1982 - Sanfona e Pífano (Forró em vinil)","1982",0,30,1312,-0.022355
"22066","09 Meia Saudade.mp3", "Toninho Ferragutti","[2006] - Toninho Ferragutti - 2006 - Nem Sol Nem Lua (Forró em vinil)","2006",0,38,1661,-0.022366
"15060","10 O vaqueiro do gibão.mp3", "Joãozinho Aboiador","[1991] - Joãozinho Aboiador - 1991 - No terreiro da fazenda (Forró em vinil)","1991",0,5,218,-0.022422
"10256","11 - Engenho velho.mp3", "Edson Duarte","[1982] - Edson Duarte - 1982 - Chamego e balanço (Forró em vinil)","1982",0,6,261,-0.022472
"12339","12 Corrente de flores.mp3", "Alcymar Monteiro","[1986] - 1986 - Alcymar Monteiro - Forroteria (Forró em vinil)","1986",1,19,780,-0.022500
"4407","11 Destino do jumento.mp3", "Zenilton","[1973] - Zenilton - 1973 - Gemedeira (Forró em vinil)","1973",1,6,215,-0.022523
"4515","11 Festival em Moscou.mp3", "Zé Gonzaga","[1973] - Zé Gonzaga - 1973 - Vamos lá em casa (Forró em vinil)","1973",0,13,564,-0.022530
"20903","04 - Espinha de Bacalhau.mp3", "Luizinho Calixto","[2003] - Luizinho Calixto - 2003 - Harmônica Espetacular (Forró em vinil)","2003",2,20,776,-0.022556
"13546","03 gatinha bonitinha.mp3", "Trio Sabiá","[1987] - Trio Sabiá - 1987 - Mistura nordestina (Forró em vinil)","1987",0,3,130,-0.022556
"22064","04 Sanfonema.mp3", "Toninho Ferragutti","[2006] - Toninho Ferragutti - 2006 - Nem Sol Nem Lua (Forró em vinil)","2006",1,8,301,-0.022581
"6006","01 - vamos mariquinha.mp3", "Genival Lacerda","[1976] - Genival Lacerda - 1976 - Vamos Mariquinha (forro em vinil)","1976",0,34,1470,-0.022606
"22782","08 - Rato molhado.mp3", "Luizinho Calixto","[2008] - Luizinho Calixto - 2008 - Discoteca do Calixto (Forró em vinil)","2008",0,35,1513,-0.022610
"9081","06 - Lá vai Poeira.mp3", "Zé do Peba- 1980","[1980] - Zé do Peba- 1980 -  Zé do Peba no Forró (Forró em vinil)","1980",3,26,988,-0.022616
"18524","09 Me Pegue Pra Chamegar.mp3", "Elba Ramalho","[1998] - Elba Ramalho - 1998 - Flor da Paraiba (Forró em vinil)","1998",1,20,819,-0.022619
"12399","02 tudo fica colorido.mp3", "marinalva","[1986] - 1986 - marinalva - enxugue o rato (Forró em vinil)","1986",0,10,432,-0.022624
"23568","13 - Dois bicudos não se beijam.mp3", "Abdias do Acordeon","[2010] - Abdias do Acordeon - 2010 - Sou feliz assim (Forró em vinil)","2010",0,31,1339,-0.022628
"16023","04 São João em capela.mp3", "José Wilson","[1993] - José Wilson - 1993 - Pé de laranja lima (Forró em vinil)","1993",0,16,691,-0.022631
"22038","03 Capital do forró.mp3", "Sotaque do Nordeste","[2006] - Sotaque do Nordeste - 2006 - Lenha e brasa (Forró em vinil)","2006",5,22,724,-0.022636
"17731","01 Nos Tempos De Menino.mp3", "Maciel Melo","[1996] - Maciel Melo - 1996 - Janelas (Forró em vinil)","1996",0,12,517,-0.022684
"24729","10 Como tatuagem.mp3", "Chama Chuva","[2011] - Chama Chuva - 2011 - De cara nova (Forró em vinil)","2011",0,13,560,-0.022688
"16513","08 - Beleza de gatona.mp3", "Edson Duarte","[1994] - Edson Duarte - 1994 - Um tantinho de amor (Forró em vinil)","1994",0,15,645,-0.022727
"15194","03 - Belezas do sertão.mp3", "Trio Sabiá","[1991] - Trio Sabiá - 1991 - Gostoso pra daná (Forró em vinil)","1991",0,2,86,-0.022727
"16751","07. Forró quentinho.mp3", "Os 3 do Nordeste","[1994] - Os 3 do Nordeste - 1994 - Acenda uma fogueira no seu coração (Forró em vinil)","1994",0,24,1031,-0.022749
"16394","16 Paixão de Cabôclo.mp3", "Banda Aquárius","[1994] - Banda Aquárius - 1994 - Asas da Imaginação (Forró em vinil)","1994",0,14,601,-0.022764
"22953","10 - Que nem jiló.mp3", "Trio Curió","[2008] - Trio Curió - 2008 - Trio Curió (Forró em vinil)","2008",0,27,1159,-0.022766
"10373","09 Razão do Meu Querer.mp3", "Luiz Gonzaga","[1982] - Luiz Gonzaga - 1982 - Eterno Cantador (Forró em vinil)","1982",1,40,1672,-0.022767
"22917","10 Bons tempos.mp3", "Sotaque do Nordeste","[2008] - Sotaque do Nordeste - 2008 - Pra xamegar (Forró em vinil)","2008",0,11,472,-0.022774
"12907","06 - Forró da gota.mp3", "manoel serafim","[1986] - manoel serafim - 1986 - Hoje tem forró (Forró em vinil)","1986",0,16,685,-0.022825
"19306","08 A grande caçada.mp3", "Elino Julião","[2000] - Elino Julião - 2000 - O canto do Seridó (Forró em vinil)","2000",9,34,1052,-0.022831
"25925","09 Cancao de Ninar.mp3", "Gennaro","[2013] - Gennaro - 2013 - No Pé do Tocador (Forró em vinil)","2013",0,4,171,-0.022857
"26257","07 - Me Enche De Paixão.mp3", "Ó do Forró","[2013] - Ó do Forró - 2013 - O som que balança o coração (Forró em vinil)","2013",0,11,470,-0.022869
"22751","02 Faixa 2.mp3", "Grupo de forró","[2008] - Grupo de forró - 2008 - Mistura fina (Forró em vinil)","2008",0,23,982,-0.022886
"13789","01 Bulir com tu.mp3", "Hermelinda","[1988] - Hermelinda - 1988 - Bulir com tu (Forró em vinil)","1988",0,21,896,-0.022901
"8118","12 Lamento amazonico.mp3", "Oswaldinho do acordeon","[1979] - Oswaldinho do acordeon - 1979 - Natureza (Forró em vinil)","1979",2,20,763,-0.022930
"22921","03 Verdadeiro amor.mp3", "Sotaque do Nordeste","[2008] - Sotaque do Nordeste - 2008 - Pra xamegar (Forró em vinil)","2008",0,30,1278,-0.022936
"21653","10 - Superfantástico.mp3", "Trio Virgulino","[2005] - Trio Virgulino - 2005 - Forró do futuro (Forró em vinil)","2005",0,50,2129,-0.022946
"5223","Ary Lobo - Segredos do Sertão - Lado B - 05 - Jurei me Vingar.mp3", "Ary Lobo","[1975] - Ary Lobo - 1975 - Segredos do sertão (Forró em vinil)","1975",0,32,1362,-0.022956
"3987","03 - Piauiense.mp3", "Dominguinhos","[1973] - Dominguinhos - 1973 - Lamento de caboclo (Forró em vinil)","1973",10,14,150,-0.022989
"11181","07 Manoelito e o povo de Deus.mp3", "Jacinto Limeira","[1983] - Jacinto Limeira - 1983 - Carreiro apaixonado (Forró em vinil)","1983",0,22,935,-0.022989
"22194","09 Reino da pedra do reino.mp3", "Alcymar Monteiro","[2007] - Alcymar Monteiro - 2007 - Festrilhas vol.1 (Forró em vinil)","2007",0,43,1827,-0.022995
"5650","03 - Trio Nordestino - Tinguinlingue.mp3", "Trio Nordestino","[1975] - Trio Nordestino - 1975 - Forró Pesado (Forró em vinil)","1975",1,6,210,-0.023041
"16386","06 Declaração.mp3", "Assisão","[1994] - Assisão - 1994 - Cigano forrozeiro (Forró em vinil)","1994",0,6,254,-0.023077
"13306","5-FULÕ DE GOIABEIRA.mp3", "Marinês","[1987] - Marinês - 1987 - Balaio de paixão (Forró em vinil)","1987",0,19,804,-0.023086
"9333","08 Minha comadre faladeira.mp3", "David Cruz","[1981] - David Cruz - 1981 - O baião que deu (Forró em vinil)","1981",0,11,465,-0.023109
"24793","03 - Artista Desconhecido - Título Desconhecido.mp3", "Chuchu Beleza","[2011] - Chuchu Beleza - 2011 - Eu canto forró (Forró em vinil)","2011",0,19,803,-0.023114
"17990","10 - Xotes.mp3", "Elba Ramalho","[1997] - Elba Ramalho - 1997 - Baioque (Forró em vinil)","1997",0,6,253,-0.023166
"15583","09-Forró em Timbaúba.mp3", "Sivuca","[1992] - Sivuca - 1992 - Pau Doido (Forró em vinil)","1992",0,21,883,-0.023230
"24466","09 - Frevo Mulher.mp3", "Trio Virgulino","[2010] - Trio Virgulino - 2010 - Forró de todos os tempos (Forró em vinil)","2010",0,23,967,-0.023232
"3804","02 Você bem sabe.mp3", "Nóca do acordeon","[1973] - 1973 - Nóca do acordeon - Noca do acordeon vol 2 (Forró em vinil)","1973",2,3,38,-0.023256
"11576","08 - Forroreando pelo Brasil.mp3", "Edgar dos 8 Baixos","[1984] - Edgar dos 8 Baixos - 1984 - Forró na Fazenda Flor do Brejo (Forró em vinil)","1984",0,6,252,-0.023256
"26995","04 - .mp3", "Forró de Lua","[2015] - Forró de Lua - 2015 - Aluado (Forró em vinil)","2015",0,2,84,-0.023256
"14076","06 - sapoti.mp3", "Chiquinho do Acordeon","[1989] - Chiquinho do Acordeon - 1989 - chiquinho do acordeon (Forró em vinil)","1989",0,1,42,-0.023256
"16455","06 E desse jeito.mp3", "Dejinha de Monteiro","[1994] - Dejinha de Monteiro - 1994 - Quem sou eu depois (Forró em vinil)","1994",0,16,669,-0.023358
"17907","01 Êh... Ôh....mp3", "Trio Sabiá","[1996] - Trio Sabiá - 1996 - Forró pra lá de bom (Forró em vinil)","1996",0,25,1045,-0.023364
"6474","12 - MARIA FAZENDEIRA.mp3", "Assisão","[1977] - Assisão - 1977 - Faz e diz (forró em vinil)","1977",3,12,370,-0.023377
"12102","04 - Bete, meu Amor.mp3", "Negrão dos Oito Baixos","[1985] - Negrão dos Oito Baixos - 1985 - Forró Democrático (Forró em vinil)","1985",6,14,322,-0.023392
"22437","09 Lembranças (Lula – Sabiá – Pipoca).mp3", "Sociais do forró ","[2007] - Sociais do forró  - 2007 - Cavaleiros da sorte (Forró em vinil)","2007",0,46,1920,-0.023398
"7197","09. Doce de leite.mp3", "Genival Lacerda","[1978] - Genival Lacerda - 1978 - Cabeça chata (Forró em vinil)","1978",0,3,125,-0.023438
"22068","03 Sanfoneon.mp3", "Toninho Ferragutti","[2006] - Toninho Ferragutti - 2006 - Nem Sol Nem Lua (Forró em vinil)","2006",0,16,666,-0.023460
"8201","06 linda sinfonia.mp3", "Trio Nordestino","[1979] - Trio Nordestino - 1979 - E o homem de saia (Forró em vinil)","1979",2,20,745,-0.023468
"18602","08 - O fogo come por baixo.mp3", "Gaviões do Forró","[1998] - Gaviões do Forró - 1998 - No capricho (Forró em vinil)","1998",4,13,366,-0.023499
"11009","03 - Forró do Jitaí.mp3", "Bezerra do Norte 1983","[1983] - Bezerra do Norte 1983 - Me dê Sorte (Forró em vinil)","1983",10,22,478,-0.023529
"6005","09 - sanfoneiro alagoano.mp3", "Genival Lacerda","[1976] - Genival Lacerda - 1976 - Vamos Mariquinha (forro em vinil)","1976",0,10,415,-0.023529
"19475","02 Sabiá da Mata.wma", "Silvério Pessoa","[2000] - Silvério Pessoa - 2000 - Bate o mancá (Forró em vinil)","2000",0,43,1783,-0.023549
"7870","03 - sabiá.mp3", "Irene portela","[1979] - Irene portela - 1979 - rumo norte (Forró em vinil)","1979",2,36,1405,-0.023562
"22746","10-O rei da garapa.mp3", "Flávio José","[2008] - Flávio José - 2008 - Dom Cristalino (Forró em vinil)","2008",1,29,1158,-0.023569
"9542","08. Lagartixa.mp3", "João Gonçalves","[1981] - João Gonçalves - 1981 - Forró em água doce (Forró em vinil)","1981",0,10,414,-0.023585
"19286","02 Forró sacudido (João Silva-Aranilson Xinha).mp3", "Camarão","[2000] - Camarão - 2000 - Forrofando em Caruaru (Forró em vinil)","2000",4,7,116,-0.023622
"25223","10 Maria Aramaica.mp3", "Trio Potiguá","[2011] - Trio Potiguá - 2011 - Feito pra se dançar (Forró em vinil)","2011",0,6,248,-0.023622
"14363","04 Lamento Sertanejo,Lamento de pífano,Triunfo.mp3", "Severo","[1989] - Severo - 1989 - Quadrilha de São João e forró (Forró em vinil)","1989",0,16,660,-0.023669
"12342","02 cantiga de vem vem - roendo unha.mp3", "Alcymar Monteiro","[1986] - 1986 - Alcymar Monteiro - Forroteria (Forró em vinil)","1986",0,16,659,-0.023704
"16105","05 remeleixo.mp3", "Os 3 do nordeste","[1993] - Os 3 do nordeste - 1993 - Pra gente se amar (forró em vinil)","1993",0,17,700,-0.023710
"27151","10 Manacá.mp3", "Trio Macaíba","[2015] - Trio Macaíba - 2015 - Comida Típica Tempero Universal (Forró em vinil)","2015",0,1,41,-0.023810
"13550","11 namoro moderno.mp3", "Trio Sabiá","[1987] - Trio Sabiá - 1987 - Mistura nordestina (Forró em vinil)","1987",0,2,82,-0.023810
"13292","06 Forró balançado.mp3", "Marinalva","[1987] - Marinalva - 1987 - Marinalva e sua gente (Forró em vinil)","1987",0,8,327,-0.023881
"14151","02. Mexe, remelexo.mp3", "Fátima Mello","[1989] - Fátima Mello - 1989 - Gostoso cafuné (Forró em vinil)","1989",0,17,694,-0.023910
